PropertyID,Bedrooms,Bathrooms,Sqft_Living,Sqft_Lot,Floors,Floor_Group,Year_Built,Sqft_Above,Sqft_Basement
1,3,1,1180,5650,1,1 Floor,1955,1180,0
2,3,2.25,2570,7242,2,2 Floors,1951,2170,400
3,2,1,770,10000,1,1 Floor,1933,770,0
4,4,3,1960,5000,1,1 Floor,1965,1050,910
5,3,2,1680,8080,1,1 Floor,1987,1680,0
6,4,4.5,5420,101930,1,1 Floor,2001,3890,1530
7,3,2.25,1715,6819,2,2 Floors,1995,1715,0
8,3,1.5,1060,9711,1,1 Floor,1963,1060,0
9,3,1,1780,7470,1,1 Floor,1960,1050,730
10,3,2.5,1890,6560,2,2 Floors,2003,1890,0
11,3,2.5,3560,9796,1,1 Floor,1965,1860,1700
12,2,1,1160,6000,1,1 Floor,1942,860,300
13,3,1,1430,19901,1.5,1.5 Floors,1927,1430,0
14,3,1.75,1370,9680,1,1 Floor,1977,1370,0
15,5,2,1810,4850,1.5,1.5 Floors,1900,1810,0
16,4,3,2950,5000,2,2 Floors,1979,1980,970
17,3,2,1890,14040,2,2 Floors,1994,1890,0
18,4,1,1600,4300,1.5,1.5 Floors,1916,1600,0
19,2,1,1200,9850,1,1 Floor,1921,1200,0
20,3,1,1250,9774,1,1 Floor,1969,1250,0
21,4,1.75,1620,4980,1,1 Floor,1947,860,760
22,3,2.75,3050,44867,1,1 Floor,1968,2330,720
23,5,2.5,2270,6300,2,2 Floors,1995,2270,0
24,2,1.5,1070,9643,1,1 Floor,1985,1070,0
25,3,2.25,2450,6500,2,2 Floors,1985,2450,0
26,3,2,1710,4697,1.5,1.5 Floors,1941,1710,0
27,3,1.75,2450,2691,2,2 Floors,1915,1750,700
28,3,1,1400,1581,1.5,1.5 Floors,1909,1400,0
29,3,1.75,1520,6380,1,1 Floor,1948,790,730
30,4,2.5,2570,7173,2,2 Floors,2005,2570,0
31,3,2.5,2320,3980,2,2 Floors,2003,2320,0
32,2,1.5,1190,1265,3,2.5+ Floors,2005,1190,0
33,4,1.75,2330,5000,1.5,1.5 Floors,1929,1510,820
34,3,1,1090,3000,1.5,1.5 Floors,1929,1090,0
35,4,2.75,2060,6659,1,1 Floor,1981,1280,780
36,3,2.5,2300,3060,1.5,1.5 Floors,1930,1510,790
37,4,1,1660,34848,1,1 Floor,1933,930,730
38,4,2,2360,6000,2,2 Floors,1904,2360,0
39,4,1,1220,8075,1,1 Floor,1969,890,330
40,4,2.5,2620,7553,2,2 Floors,1996,2620,0
41,4,2.5,2570,5520,2,2 Floors,2000,2570,0
42,4,2.25,4220,24186,1,1 Floor,1984,2600,1620
43,5,2.75,3595,5639,2,2 Floors,2014,3595,0
44,3,1,1570,2280,2,2 Floors,1922,1570,0
45,3,1,1280,9656,1,1 Floor,1959,920,360
46,3,2.5,3160,13603,2,2 Floors,2003,3160,0
47,3,1,990,8528,1,1 Floor,1966,990,0
48,4,2.5,2290,13416,2,2 Floors,1981,2290,0
49,3,1.75,1250,5963,1,1 Floor,1953,1250,0
50,3,2.5,2753,65005,1,1 Floor,1953,2165,588
51,3,1,1190,9199,1,1 Floor,1955,1190,0
52,5,2.5,3150,9134,1,1 Floor,1966,1640,1510
53,3,1.75,1410,4080,1,1 Floor,1950,1000,410
54,2,1.75,1980,8550,1,1 Floor,1981,990,990
55,5,2.25,2730,6000,1.5,1.5 Floors,1927,2130,600
56,4,2.5,2830,5000,2,2 Floors,1995,2830,0
57,4,2.5,2250,4495,2,2 Floors,2008,2250,0
58,3,2.5,2420,4750,2,2 Floors,2003,2420,0
59,5,3.25,3250,14342,2,2 Floors,1968,3250,0
60,4,3,1850,9976,2,2 Floors,1991,1850,0
61,3,2.25,2150,21235,1,1 Floor,1959,1590,560
62,3,1.75,1260,8400,1,1 Floor,1954,1260,0
63,3,1.75,2519,8690,2,2 Floors,1973,2519,0
64,3,1.75,1540,1044,3,2.5+ Floors,2014,1540,0
65,3,2.25,1660,6000,1,1 Floor,1979,1110,550
66,3,2.75,2770,3809,1.5,1.5 Floors,1925,1770,1000
67,4,2.5,2720,11049,2,2 Floors,1989,2720,0
68,4,2.5,2240,4648,2,2 Floors,2005,2240,0
69,3,1,1000,12070,1,1 Floor,1968,1000,0
70,5,2.25,3200,20158,1,1 Floor,1965,1600,1600
71,5,3.25,4770,50094,1,1 Floor,1973,3070,1700
72,3,2,1260,5612,1,1 Floor,1972,1260,0
73,4,2,2750,7807,1.5,1.5 Floors,1916,2250,500
74,4,2.5,2380,5000,2,2 Floors,2005,2380,0
75,3,1.75,1790,50529,1,1 Floor,1965,1090,700
76,4,4,3430,35102,2,2 Floors,1986,2390,1040
77,4,1.75,1760,7300,1,1 Floor,1956,880,880
78,3,1,1040,5060,1,1 Floor,1941,1040,0
79,3,1,1410,5060,1,1 Floor,1956,910,500
80,4,2.5,3450,39683,2,2 Floors,2002,3450,0
81,3,2.5,2350,5100,2,2 Floors,2003,2350,0
82,4,2.5,1900,5889,2,2 Floors,1992,1900,0
83,2,1,2020,6720,1,1 Floor,1948,1010,1010
84,3,1.5,1680,8712,1,1 Floor,1964,1680,0
85,3,1,960,6634,1,1 Floor,1952,960,0
86,3,1.5,2140,3600,2,2 Floors,1925,1900,240
87,5,2.25,2660,8400,1.5,1.5 Floors,1961,2660,0
88,3,3.25,2770,6278,2,2 Floors,2006,1980,790
89,2,2.25,1610,2040,2,2 Floors,1979,1610,0
90,2,1.75,1030,1066,2,2 Floors,2006,765,265
91,4,2.5,1980,7403,2,2 Floors,1988,1980,0
92,5,2.75,3520,6353,2,2 Floors,2001,3520,0
93,3,1,1200,10500,1,1 Floor,1962,1200,0
94,3,1.5,1580,5000,1,1 Floor,1939,1290,290
95,3,1.5,1580,5000,1,1 Floor,1939,1290,290
96,4,2.5,3300,10250,1,1 Floor,1946,2390,910
97,3,1.75,1960,15681,1,1 Floor,1967,1960,0
98,4,1.5,1160,6400,1,1 Floor,1975,1160,0
99,3,1.75,1810,41800,1,1 Floor,1980,1210,600
100,3,2.5,2320,36847,2,2 Floors,1992,2320,0
101,3,2.5,2070,13241,1.5,1.5 Floors,1910,1270,800
102,3,2,1980,3478,1.5,1.5 Floors,1929,1440,540
103,3,2.25,2190,107593,2,2 Floors,1983,2190,0
104,3,2.5,2920,8113,2,2 Floors,1950,2920,0
105,3,1,1210,33919,1,1 Floor,1954,1210,0
106,3,2.5,2340,10005,1,1 Floor,1978,1460,880
107,3,1,1670,4005,1.5,1.5 Floors,1939,1170,500
108,2,1.75,1240,2493,1,1 Floor,1985,1240,0
109,4,2.5,3140,28037,2,2 Floors,1991,3140,0
110,5,1.75,2030,12342,2,2 Floors,1942,2030,0
111,4,2.5,2310,9624,2,2 Floors,1984,2310,0
112,3,1.75,1260,3328,1,1 Floor,1905,700,560
113,3,1.75,1540,12600,1,1 Floor,1980,1160,380
114,3,1.75,2080,5969,1,1 Floor,1971,1080,1000
115,4,2.5,3230,16171,2,2 Floors,2001,2520,710
116,3,3.5,4380,6350,2,2 Floors,1900,2780,1600
117,3,3.5,1590,1102,3,2.5+ Floors,2010,1590,0
118,2,1,880,6780,1,1 Floor,1945,880,0
119,4,2,1570,9600,1,1 Floor,1950,1570,0
120,4,1,1610,2982,1.5,1.5 Floors,1925,1610,0
121,3,2.5,2400,6474,1,1 Floor,1964,1560,840
122,3,2,1450,9132,1,1 Floor,1987,1450,0
123,2,1,770,6000,1,1 Floor,1953,770,0
124,4,1.75,2100,4400,1.5,1.5 Floors,1924,1720,380
125,3,2.25,2910,10204,2,2 Floors,1990,2910,0
126,4,2.75,2750,17789,1.5,1.5 Floors,1914,1980,770
127,3,2.25,2100,8201,1,1 Floor,1967,1620,480
128,4,2.25,2160,8811,1,1 Floor,1978,1360,800
129,5,3.5,2320,4960,2,2 Floors,1926,1720,600
130,4,2.5,2070,4310,2,2 Floors,2004,2070,0
131,3,1.75,1060,7875,1,1 Floor,1986,1060,0
132,4,2.25,2010,9603,1,1 Floor,1986,1440,570
133,3,3.5,3950,111078,1.5,1.5 Floors,1989,2460,1490
134,3,2.5,2010,2287,2,2 Floors,2014,1390,620
135,4,3.5,2140,2278,3,2.5+ Floors,2005,2140,0
136,3,1.75,1320,17390,1,1 Floor,1956,1320,0
137,4,1.75,2020,7840,1,1 Floor,1968,1010,1010
138,4,2.25,2590,10002,1,1 Floor,1968,1340,1250
139,2,1,1190,4440,1,1 Floor,1981,1190,0
140,3,2.25,1170,1249,3,2.5+ Floors,2014,1170,0
141,2,1,1110,3200,1,1 Floor,1925,1110,0
142,5,2.5,2820,9375,1,1 Floor,1968,1550,1270
143,3,1,1610,8579,1,1 Floor,1962,1010,600
144,3,1,1060,8097,1,1 Floor,1923,940,120
145,4,2.25,2030,8517,1,1 Floor,1961,1380,650
146,4,2.5,3670,315374,2,2 Floors,1994,3670,0
147,4,1,2550,4000,2,2 Floors,1905,2370,180
148,2,2.5,2420,60984,2,2 Floors,2007,2420,0
149,5,2,2260,12500,1,1 Floor,1960,1130,1130
150,3,1,1430,3455,1,1 Floor,1947,980,450
151,3,2,1360,3090,2,2 Floors,1990,1360,0
152,3,1,1110,5000,1.5,1.5 Floors,1947,1110,0
153,3,1,1250,8200,1,1 Floor,1954,1250,0
154,4,3.25,5180,19850,2,2 Floors,2006,3540,1640
155,1,1,700,5100,1,1 Floor,1942,700,0
156,3,1,1180,7669,1,1 Floor,1967,1180,0
157,5,3.5,3960,25245,2,2 Floors,1996,2500,1460
158,4,2.75,2640,7500,1,1 Floor,1967,1620,1020
159,3,2,1270,7198,1.5,1.5 Floors,1916,1270,0
160,4,1.75,1760,11180,1,1 Floor,1968,1760,0
161,5,2.25,2060,8632,1,1 Floor,1962,1030,1030
162,3,1.75,1780,9660,1,1 Floor,1962,1780,0
163,3,2.5,3400,16603,2,2 Floors,2000,3400,0
164,3,2.75,1910,7280,1,1 Floor,1979,1160,750
165,3,2,2020,38332,1,1 Floor,1975,1010,1010
166,3,1.75,1580,7000,1,1 Floor,1976,1180,400
167,2,1.75,1340,7250,1,1 Floor,1949,700,640
168,4,2.5,2680,4499,2,2 Floors,1999,2680,0
169,3,2.5,2680,9750,1,1 Floor,1979,1610,1070
170,3,2,1370,8336,1,1 Floor,1964,1370,0
171,3,1.75,1560,21000,1,1 Floor,1954,1560,0
172,3,1.75,2160,7140,1,1 Floor,1978,1670,490
173,3,1.5,1340,7912,1.5,1.5 Floors,1955,1340,0
174,4,2.5,3880,35003,2,2 Floors,1984,2570,1310
175,4,2.25,2590,8190,2,2 Floors,1980,2590,0
176,3,2.5,1120,1100,2,2 Floors,2008,820,300
177,5,2.75,1970,5400,1,1 Floor,1986,1320,650
