PropertyID,Price,GradeGroup,Grade,Waterfront_Label,View,Condition,Zipcode,Year_Renovated
1,221900, Average ,7,No,0,3,98178,0
2,538000, Average ,7,No,0,3,98125,1991
3,180000, Below Average ,6,No,0,3,98028,0
4,604000, Average ,7,No,0,5,98136,0
5,510000, Good ,8,No,0,3,98074,0
6,1225000, Excellent ,11,No,0,3,98053,0
7,257500, Average ,7,No,0,3,98003,0
8,291850, Average ,7,No,0,3,98198,0
9,229500, Average ,7,No,0,3,98146,0
10,323000, Average ,7,No,0,3,98038,0
11,662500, Good ,8,No,0,3,98007,0
12,468000, Average ,7,No,0,4,98115,0
13,310000, Average ,7,No,0,4,98028,0
14,400000, Average ,7,No,0,4,98074,0
15,530000, Average ,7,No,0,3,98107,0
16,650000, Good ,9,No,3,3,98126,0
17,395000, Average ,7,No,0,3,98019,0
18,485000, Average ,7,No,0,4,98103,0
19,189000, Average ,7,No,0,4,98002,0
20,230000, Average ,7,No,0,4,98003,0
21,385000, Average ,7,No,0,4,98133,0
22,2000000, Good ,9,No,4,3,98040,0
23,285000, Good ,8,No,0,3,98092,0
24,252700, Average ,7,No,0,3,98030,0
25,329000, Good ,8,No,0,4,98030,0
26,233000, Below Average ,6,No,0,5,98002,0
27,937000, Good ,8,No,0,3,98119,0
28,667000, Good ,8,No,0,5,98112,0
29,438000, Average ,7,No,0,3,98115,0
30,719000, Good ,8,No,0,3,98052,0
31,580500, Good ,8,No,0,3,98027,0
32,280000, Average ,7,No,0,3,98133,0
33,687500, Average ,7,No,0,4,98117,0
34,535000, Good ,8,No,0,4,98117,0
35,322500, Average ,7,No,0,3,98058,0
36,696000, Good ,8,No,0,3,98115,2002
37,550000, Below Average ,5,No,0,1,98052,0
38,640000, Good ,8,No,0,4,98107,0
39,240000, Average ,7,No,0,2,98001,0
40,605000, Good ,8,No,0,3,98056,0
41,625000, Good ,9,No,0,3,98074,0
42,775000, Good ,8,No,0,3,98166,0
43,861990, Good ,9,No,0,3,98053,0
44,685000, Average ,7,No,0,3,98119,0
45,309000, Below Average ,6,No,0,4,98058,0
46,488000, Good ,8,No,0,3,98019,0
47,210490, Below Average ,6,No,0,3,98023,0
48,785000, Good ,9,No,0,4,98007,0
49,450000, Average ,7,No,0,4,98115,0
50,1350000, Good ,9,Yes,2,5,98070,0
51,228000, Average ,7,No,0,3,98148,0
52,345000, Good ,8,No,0,4,98056,0
53,600000, Average ,7,No,0,4,98117,0
54,585000, Average ,7,No,0,3,98117,0
55,920000, Good ,8,No,0,3,98105,0
56,885000, Good ,9,No,0,3,98105,0
57,292500, Average ,7,No,0,3,98042,0
58,301000, Good ,8,No,0,3,98042,0
59,951000, Good ,8,No,4,4,98008,0
60,430000, Good ,8,No,0,3,98059,0
61,650000, Good ,8,No,3,4,98166,0
62,289000, Average ,7,No,0,3,98148,0
63,505000, Good ,8,No,0,5,98166,0
64,549000, Good ,8,No,0,3,98115,0
65,425000, Average ,7,No,0,3,98122,0
66,317625, Average ,7,No,0,5,98144,0
67,975000, Excellent ,10,No,0,3,98004,0
68,287000, Average ,7,No,0,3,98001,0
69,204000, Average ,7,No,0,4,98042,0
70,1325000, Good ,8,No,0,3,98004,0
71,1040000, Excellent ,11,No,0,4,98005,0
72,325000, Average ,7,No,0,4,98034,0
73,571000, Average ,7,No,0,5,98125,0
74,360000, Good ,8,No,0,3,98038,0
75,349000, Average ,7,No,0,5,98042,0
76,832500, Excellent ,10,No,0,4,98075,0
77,380000, Average ,7,No,0,3,98008,0
78,480000, Average ,7,No,0,3,98116,0
79,410000, Average ,7,No,0,4,98133,0
80,720000, Excellent ,10,No,0,3,98010,0
81,390000, Good ,8,No,0,3,98038,0
82,360000, Average ,7,No,0,3,98038,0
83,355000, Average ,7,No,0,3,98118,0
84,356000, Good ,8,No,0,3,98059,0
85,315000, Below Average ,6,No,0,3,98125,0
86,940000, Good ,9,No,0,3,98119,0
87,305000, Average ,7,No,0,5,98092,0
88,461000, Good ,9,No,0,3,98056,0
89,215000, Average ,7,No,0,4,98056,0
90,335000, Average ,7,No,0,3,98136,0
91,243500, Average ,7,No,0,3,98023,0
92,1099880, Excellent ,10,No,0,4,98199,0
93,153000, Average ,7,No,0,3,98023,0
94,430000, Good ,8,No,0,3,98117,0
95,700000, Good ,8,No,0,3,98117,0
96,905000, Average ,7,No,0,3,98040,1991
97,247500, Average ,7,No,0,3,98032,0
98,199000, Average ,7,No,0,4,98023,0
99,314000, Average ,7,No,0,5,98038,0
100,437500, Good ,9,No,2,3,98045,0
101,850830, Good ,9,No,0,5,98102,0
102,555000, Average ,7,No,0,4,98117,0
103,699950, Good ,8,No,0,4,98077,0
104,1088000, Good ,8,No,0,3,98004,2010
105,290000, Average ,7,No,0,3,98058,0
106,375000, Good ,8,No,0,4,98058,0
107,460000, Average ,7,No,0,4,98117,0
108,188500, Good ,8,No,0,4,98198,0
109,680000, Excellent ,10,No,0,4,98077,0
110,470000, Average ,7,No,0,4,98052,0
111,597750, Good ,8,No,0,3,98027,0
112,570000, Below Average ,6,No,0,5,98103,0
113,272500, Average ,7,No,0,4,98038,0
114,329950, Average ,7,No,2,3,98108,0
115,480000, Good ,9,No,3,3,98001,0
116,740500, Good ,8,No,0,3,98117,1999
117,518500, Good ,8,No,0,3,98103,0
118,205425, Below Average ,6,No,0,4,98178,0
119,171800, Below Average ,6,No,0,3,98168,0
120,535000, Average ,7,No,0,4,98144,0
121,660000, Good ,8,No,2,3,98177,0
122,391500, Average ,7,No,0,3,98034,0
123,395000, Below Average ,6,No,0,3,98117,0
124,445000, Average ,7,No,0,5,98118,0
125,770000, Good ,9,No,0,3,98052,0
126,1450000, Good ,8,No,0,3,98004,1992
127,445000, Good ,8,No,2,3,98178,0
128,260000, Good ,8,No,0,3,98023,0
129,822500, Average ,7,No,0,5,98103,0
130,430000, Average ,7,No,0,3,98065,0
131,212000, Average ,7,No,0,4,98092,0
132,660500, Good ,8,No,0,3,98027,0
133,784000, Good ,9,No,0,3,98052,0
134,453246, Good ,8,No,0,3,98029,0
135,675000, Good ,9,No,0,3,98107,0
136,199000, Average ,7,No,0,4,98003,0
137,220000, Average ,7,No,0,3,98003,0
138,452000, Good ,8,No,0,4,98028,0
139,382500, Below Average ,6,No,0,3,98125,0
140,519950, Good ,8,No,0,3,98107,0
141,665000, Average ,7,No,0,3,98119,0
142,527700, Good ,8,No,0,4,98006,0
143,205000, Average ,7,No,0,4,98058,0
144,420000, Average ,7,No,0,4,98133,0
145,500000, Good ,8,No,0,4,98006,0
146,921500, Good ,9,No,0,4,98077,0
147,890000, Good ,8,No,0,3,98109,0
148,430000, Average ,7,No,0,3,98027,0
149,258000, Good ,8,No,0,4,98032,0
150,511000, Average ,7,No,0,3,98103,0
151,532170, Good ,8,No,0,3,98103,0
152,560000, Average ,7,No,0,3,98107,0
153,282950, Average ,7,No,0,4,98003,0
154,2250000, Excellent ,12,No,3,3,98006,0
155,350000, Average ,7,No,0,3,98115,0
156,215000, Average ,7,No,0,4,98058,0
157,650000, Good ,9,No,0,3,98056,0
158,320000, Good ,8,No,0,3,98023,0
159,247000, Average ,7,No,0,3,98022,2013
160,320000, Good ,8,No,0,4,98059,0
161,255000, Average ,7,No,0,3,98146,0
162,438000, Average ,7,No,0,3,98034,0
163,900000, Excellent ,10,No,0,3,98075,0
164,441000, Average ,7,No,0,3,98034,0
165,420000, Average ,7,No,0,4,98027,0
166,370000, Average ,7,No,0,3,98034,0
167,269950, Below Average ,5,No,0,5,98198,0
168,807100, Good ,9,No,0,3,98006,0
169,653000, Good ,8,No,0,4,98034,0
170,371500, Average ,7,No,0,5,98133,0
171,284000, Average ,7,No,0,3,98166,0
172,272000, Average ,7,No,0,4,98023,0
173,313000, Average ,7,No,0,3,98133,0
174,917500, Excellent ,10,No,0,3,98033,0
175,673000, Good ,8,No,0,4,98006,0
176,425000, Good ,8,No,0,3,98122,0
177,399950, Average ,7,No,0,3,98144,0
178,385000, Below Average ,6,No,0,3,98122,0
179,269950, Average ,7,No,2,4,98022,0
180,330000, Average ,7,No,0,3,98177,0
181,260000, Average ,7,No,0,3,98030,0
182,470000, Average ,7,No,0,4,98126,0
183,589000, Average ,7,No,0,5,98034,0
184,163500, Average ,7,No,0,3,98038,0
185,835000, Good ,9,No,0,3,98052,0
186,1095000, Excellent ,10,No,2,4,98033,0
187,269000, Good ,8,No,0,4,98023,0
188,560000, Good ,8,No,0,3,98074,0
189,615000, Below Average ,6,No,0,4,98103,0
190,585188, Good ,8,No,0,3,98052,0
191,305000, Average ,7,No,0,3,98034,0
192,166950, Below Average ,6,No,0,3,98058,0
193,799000, Good ,8,No,0,4,98040,0
194,400000, Average ,7,No,0,4,98133,0
195,230000, Average ,7,No,0,3,98155,0
196,256883, Good ,8,No,0,3,98023,0
197,423000, Average ,7,No,0,5,98108,0
198,465000, Good ,8,No,0,3,98126,0
199,440000, Average ,7,No,0,3,98024,0
200,385000, Average ,7,No,0,4,98038,0
201,210000, Below Average ,6,No,0,4,98056,0
202,297000, Good ,8,No,0,3,98042,0
203,470000, Average ,7,No,0,3,98107,0
204,226500, Average ,7,No,0,4,98023,0
205,274250, Below Average ,6,No,0,4,98059,0
206,840000, Good ,9,No,0,4,98040,0
207,677900, Good ,8,No,0,3,98052,0
208,425000, Average ,7,No,0,3,98116,0
209,180250, Below Average ,6,No,0,3,98166,0
210,464000, Average ,7,No,0,3,98133,1994
211,320000, Good ,8,No,0,3,98038,0
212,625504, Good ,8,No,0,3,98105,0
213,592500, Good ,9,No,0,3,98074,0
214,465000, Good ,9,No,0,3,98001,0
215,477000, Good ,8,No,0,3,98118,0
216,280000, Below Average ,6,No,0,3,98168,0
217,1505000, Good ,9,No,3,3,98040,1991
218,445838, Good ,8,No,0,3,98146,0
219,1072000, Good ,8,No,3,3,98144,0
220,467000, Good ,8,No,0,4,98177,0
221,686000, Excellent ,10,No,0,3,98075,0
222,279950, Average ,7,No,0,3,98198,0
223,527000, Good ,8,No,0,3,98011,0
224,325000, Good ,8,No,0,4,98030,0
225,328000, Average ,7,No,0,3,98038,0
226,390000, Average ,7,No,0,5,98146,0
227,479950, Good ,8,No,0,3,98053,0
228,264950, Average ,7,No,0,4,98023,0
229,235000, Average ,7,No,0,4,98031,0
230,516500, Average ,7,No,0,3,98053,0
231,655000, Average ,7,Yes,4,3,98166,1978
232,500000, Average ,7,No,0,5,98059,0
233,315000, Good ,8,No,0,3,98023,0
234,213000, Below Average ,6,No,0,3,98024,0
235,475000, Average ,7,No,0,5,98108,0
236,1025000, Excellent ,10,No,0,3,98033,0
237,416000, Average ,7,No,0,5,98010,0
238,410000, Average ,7,No,0,3,98122,2005
239,800000, Excellent ,10,No,0,3,98077,0
240,472000, Good ,9,No,2,4,98003,0
241,225000, Average ,7,No,0,4,98003,0
242,210000, Below Average ,6,No,0,3,98126,0
243,455000, Average ,7,No,0,2,98115,0
244,225000, Below Average ,6,No,0,4,98002,0
245,480000, Average ,7,No,2,4,98103,0
246,363000, Good ,9,No,0,3,98023,0
247,2400000, Good ,9,Yes,4,3,98074,0
248,181000, Below Average ,6,No,0,3,98106,0
249,250000, Average ,7,No,0,4,98002,0
250,481000, Below Average ,6,No,0,4,98103,0
251,260000, Average ,7,No,0,4,98032,0
252,455000, Good ,9,No,0,3,98058,0
253,415000, Good ,8,No,0,3,98045,0
254,349500, Average ,7,No,0,3,98118,0
255,245000, Average ,7,No,0,3,98030,0
256,592500, Average ,7,No,2,5,98115,0
257,385000, Average ,7,No,0,4,98106,0
258,315000, Average ,7,No,0,4,98059,0
259,255000, Average ,7,No,0,3,98045,0
260,693000, Good ,8,No,0,3,98052,0
261,780000, Good ,8,No,0,3,98112,0
262,237000, Average ,7,No,0,4,98198,0
263,525000, Excellent ,10,No,0,3,98074,0
264,425000, Below Average ,5,No,0,3,98144,0
265,369900, Below Average ,5,Yes,4,5,98070,0
266,290000, Average ,7,No,0,4,98031,0
267,285000, Average ,7,No,0,3,98106,0
268,415000, Average ,7,No,0,3,98115,0
269,272500, Good ,8,No,0,3,98023,0
270,2900000, Excellent ,11,No,2,3,98004,2008
271,1365000, Excellent ,11,No,0,4,98077,0
272,436000, Average ,7,No,0,4,98133,0
273,210000, Average ,7,No,0,4,98003,0
274,236000, Average ,7,No,0,3,98178,0
275,331000, Average ,7,No,0,3,98199,2003
276,365000, Good ,8,No,0,3,98031,0
277,450000, Good ,8,No,0,5,98058,0
278,770000, Good ,9,No,0,3,98028,0
279,455000, Good ,8,No,0,3,98038,0
280,405000, Below Average ,6,No,0,3,98118,0
281,304900, Average ,7,No,0,4,98031,0
282,170000, Below Average ,6,No,0,3,98178,0
283,2050000, Good ,9,No,1,5,98122,1994
284,780000, Good ,9,No,0,3,98053,0
285,330000, Good ,8,No,0,4,98028,0
286,370000, Good ,9,No,0,3,98030,0
287,467000, Average ,7,No,0,3,98072,0
288,405000, Average ,7,No,0,3,98034,0
289,675000, Good ,8,No,0,3,98006,0
290,500000, Average ,7,No,0,4,98006,0
291,389999, Average ,7,No,0,4,98166,0
292,630000, Good ,8,No,2,4,98034,0
293,360000, Good ,9,No,0,3,98001,0
294,580000, Good ,8,No,0,3,98056,0
295,550000, Good ,8,No,3,5,98126,0
296,879000, Excellent ,10,No,0,3,98075,0
297,265000, Average ,7,No,0,3,98042,0
298,446500, Good ,8,No,0,3,98059,0
299,404000, Average ,7,No,0,3,98108,0
300,267500, Average ,7,No,2,3,98188,0
301,3075000, Excellent ,10,Yes,4,3,98074,0
302,335000, Good ,8,No,0,3,98003,0
303,576000, Average ,7,No,0,4,98117,0
304,208633, Good ,8,No,0,3,98038,0
305,315000, Average ,7,No,0,4,98166,0
306,725000, Good ,8,No,0,4,98112,0
307,550000, Good ,8,No,0,4,98177,0
308,610750, Good ,8,No,0,3,98074,0
309,550700, Below Average ,6,No,0,4,98105,0
310,665000, Good ,8,No,0,5,98056,0
311,834000, Good ,8,No,2,5,98144,0
312,201000, Below Average ,6,No,0,3,98065,0
313,2384000, Excellent ,10,No,4,5,98119,0
314,1384000, Excellent ,11,No,3,3,98006,0
315,1400000, Excellent ,11,No,3,3,98006,0
316,305000, Good ,8,No,0,3,98058,0
317,487000, Good ,8,No,0,5,98133,0
318,390000, Good ,8,No,0,4,98042,0
319,548000, Average ,7,No,0,4,98103,0
320,268750, Below Average ,6,No,0,3,98166,0
321,819900, Good ,9,No,0,3,98052,0
322,520000, Good ,8,No,0,3,98027,0
323,230000, Average ,7,No,0,3,98001,0
324,240000, Average ,7,No,0,3,98023,0
325,232000, Below Average ,6,No,0,3,98146,1984
326,240500, Below Average ,6,No,0,3,98146,1984
327,274975, Good ,9,No,0,3,98077,0
328,740000, Good ,9,No,0,4,98102,0
329,186375, Average ,7,No,0,2,98166,0
330,790000, Good ,9,No,0,4,98005,0
331,880000, Good ,9,No,0,3,98105,2002
332,279000, Average ,7,No,0,4,98198,0
333,295000, Good ,8,No,2,3,98022,0
334,640000, Average ,7,No,0,3,98103,0
335,940000, Good ,9,No,0,5,98040,0
336,260000, Average ,7,No,0,3,98038,0
337,559900, Good ,9,No,0,3,98072,0
338,791500, Average ,7,No,0,5,98103,0
339,265000, Average ,7,No,0,3,98133,0
340,245000, Average ,7,No,0,3,98178,0
341,485000, Average ,7,No,0,4,98052,0
342,684000, Good ,9,No,0,3,98059,0
